DiseaseName_raw,DiseaseName_norm
Atelosteogenesis type 2,atelosteogenesis type 2
"ATELOSTEOGENESIS, TYPE III",atelosteogenesis type iii
Athabaskan brainstem dysgenesis,athabaskan brainstem dysgenesis
Atherosclerosis,atherosclerosis
ATR-X syndrome,atr x syndrome
"ATRIAL FIBRILLATION, FAMILIAL, 10",atrial fibrillation familial 10
"ATRIAL FIBRILLATION, FAMILIAL, 11",atrial fibrillation familial 11
"ATRIAL FIBRILLATION, FAMILIAL, 12",atrial fibrillation familial 12
"ATRIAL FIBRILLATION, FAMILIAL, 13",atrial fibrillation familial 13
"ATRIAL FIBRILLATION, FAMILIAL, 14",atrial fibrillation familial 14
"ATRIAL FIBRILLATION, FAMILIAL, 15",atrial fibrillation familial 15
"ATRIAL FIBRILLATION, FAMILIAL, 18",atrial fibrillation familial 18
"Atrial Fibrillation, Familial, 3",atrial fibrillation familial 3
"Atrial Fibrillation, Familial, 4",atrial fibrillation familial 4
"Atrial Fibrillation, Familial, 6",atrial fibrillation familial 6
"Atrial Fibrillation, Familial, 7",atrial fibrillation familial 7
"Atrial Fibrillation, Familial, 8",atrial fibrillation familial 8
"ATRIAL FIBRILLATION, FAMILIAL, 9",atrial fibrillation familial 9
"Atrial myxoma, familial",atrial myxoma familial
Atrial septal defect 2,atrial septal defect 2
Atrial Septal Defect 3,atrial septal defect 3
Atrial Septal Defect 4,atrial septal defect 4
Atrial Septal Defect 5,atrial septal defect 5
Atrial Septal Defect 6,atrial septal defect 6
ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS,atrial septal defect 7 with or without atrioventricular conduction defects
ATRIAL SEPTAL DEFECT 8,atrial septal defect 8
ATRIAL SEPTAL DEFECT 9,atrial septal defect 9
Atrial Standstill,atrial standstill
Atrichia with Papular Lesions,atrichia with papular lesions
Atrioventricular Septal Defect,atrioventricular septal defect
"Atrioventricular Septal Defect, Partial, with Heterotaxy Syndrome",atrioventricular septal defect partial with heterotaxy syndrome
Attention Deficit and Disruptive Behavior Disorders,attention deficit and disruptive behavior disorders
Attention Deficit Disorder with Hyperactivity,attention deficit disorder with hyperactivity
Atypical Hemolytic Uremic Syndrome,atypical hemolytic uremic syndrome
"Atypical Mycobacteriosis, Familial, X-Linked 2",atypical mycobacteriosis familial x linked 2
AU-KLINE SYNDROME,au kline syndrome
"Auditory Neuropathy, Autosomal Dominant, 1",auditory neuropathy autosomal dominant 1
Auditory Perceptual Disorders,auditory perceptual disorders
"Aural Atresia, Congenital",aural atresia congenital
Auriculo-condylar syndrome,auriculo condylar syndrome
Autism Spectrum Disorder,autism spectrum disorder
"AUTISM, SUSCEPTIBILITY TO, X-LINKED 1",autism susceptibility to x linked 1
"AUTISM, SUSCEPTIBILITY TO, X-LINKED 2",autism susceptibility to x linked 2
Autistic Disorder,autistic disorder
"AUTOIMMUNE DISEASE, MULTISYSTEM, INFANTILE-ONSET, 1",autoimmune disease multisystem infantile onset 1
"AUTOIMMUNE DISEASE, MULTISYSTEM, INFANTILE-ONSET, 2",autoimmune disease multisystem infantile onset 2
"AUTOIMMUNE DISEASE, MULTISYSTEM, WITH FACIAL DYSMORPHISM",autoimmune disease multisystem with facial dysmorphism
"AUTOIMMUNE DISEASE, SUSCEPTIBILITY TO, 1",autoimmune disease susceptibility to 1
Autoimmune Diseases,autoimmune diseases
Autoimmune Diseases of the Nervous System,autoimmune diseases of the nervous system
Autoimmune Lymphoproliferative Syndrome,autoimmune lymphoproliferative syndrome
"Autoimmune Lymphoproliferative Syndrome, Type IIA",autoimmune lymphoproliferative syndrome type iia
"AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME, TYPE III",autoimmune lymphoproliferative syndrome type iii
"Autoimmune polyendocrinopathy syndrome, type 1",autoimmune polyendocrinopathy syndrome type 1
"AUTOINFLAMMATION AND AUTOIMMUNITY, SYSTEMIC, WITH IMMUNE DYSREGULATION 1",autoinflammation and autoimmunity systemic with immune dysregulation 1
"AUTOINFLAMMATION, ANTIBODY DEFICIENCY, AND IMMUNE DYSREGULATION",autoinflammation antibody deficiency and immune dysregulation
"AUTOINFLAMMATION, PANNICULITIS, AND DERMATOSIS SYNDROME, AUTOSOMAL RECESSIVE",autoinflammation panniculitis and dermatosis syndrome autosomal recessive
AUTOINFLAMMATION WITH ARTHRITIS AND DYSKERATOSIS,autoinflammation with arthritis and dyskeratosis
AUTOINFLAMMATION WITH INFANTILE ENTEROCOLITIS,autoinflammation with infantile enterocolitis
"AUTOINFLAMMATORY SYNDROME, FAMILIAL, BEHCET-LIKE 1",autoinflammatory syndrome familial behcet like 1
Autonomic Nervous System Diseases,autonomic nervous system diseases
Avoidant Restrictive Food Intake Disorder,avoidant restrictive food intake disorder
Axenfeld-Rieger syndrome,axenfeld rieger syndrome
"AXENFELD-RIEGER SYNDROME, TYPE 1",axenfeld rieger syndrome type 1
"AXENFELD-RIEGER SYNDROME, TYPE 3",axenfeld rieger syndrome type 3
"Azoospermia, Nonobstructive",azoospermia nonobstructive
Azotemia,azotemia
B-CELL EXPANSION WITH NFKB AND T-CELL ANERGY,b cell expansion with nfkb and t cell anergy
Bacteremia,bacteremia
Bacterial Infections,bacterial infections
BAINBRIDGE-ROPERS SYNDROME,bainbridge ropers syndrome
Balkan Nephropathy,balkan nephropathy
Bamforth syndrome,bamforth syndrome
Band Heterotopia of Brain,band heterotopia of brain
BARAITSER-WINTER SYNDROME 1,baraitser winter syndrome 1
BARAITSER-WINTER SYNDROME 2,baraitser winter syndrome 2
Barakat syndrome,barakat syndrome
Barber Say syndrome,barber say syndrome
Bardet-Biedl Syndrome,bardet biedl syndrome
Bardet-Biedl syndrome 1,bardet biedl syndrome 1
Bardet-Biedl Syndrome 10,bardet biedl syndrome 10
Bardet-Biedl Syndrome 11,bardet biedl syndrome 11
Bardet-Biedl Syndrome 12,bardet biedl syndrome 12
Bardet-Biedl Syndrome 13,bardet biedl syndrome 13
Bardet-Biedl Syndrome 14,bardet biedl syndrome 14
BARDET-BIEDL SYNDROME 15,bardet biedl syndrome 15
BARDET-BIEDL SYNDROME 16,bardet biedl syndrome 16
BARDET-BIEDL SYNDROME 17,bardet biedl syndrome 17
BARDET-BIEDL SYNDROME 18,bardet biedl syndrome 18
BARDET-BIEDL SYNDROME 19,bardet biedl syndrome 19
Bardet-Biedl syndrome 2,bardet biedl syndrome 2
BARDET-BIEDL SYNDROME 21,bardet biedl syndrome 21
BARDET-BIEDL SYNDROME 22,bardet biedl syndrome 22
Bardet-Biedl syndrome 3,bardet biedl syndrome 3
Bardet-Biedl syndrome 4,bardet biedl syndrome 4
BARDET-BIEDL SYNDROME 5,bardet biedl syndrome 5
Bardet-Biedl Syndrome 6,bardet biedl syndrome 6
Bardet-Biedl Syndrome 7,bardet biedl syndrome 7
Bardet-Biedl Syndrome 8,bardet biedl syndrome 8
Bardet-Biedl Syndrome 9,bardet biedl syndrome 9
Bare lymphocyte syndrome 2,bare lymphocyte syndrome 2
"Bare Lymphocyte Syndrome, Type I",bare lymphocyte syndrome type i
Barrett Esophagus,barrett esophagus
Barth Syndrome,barth syndrome
Bartter Syndrome,bartter syndrome
"Bartter syndrome, antenatal type 1",bartter syndrome antenatal type 1
"Bartter syndrome, antenatal , type 2",bartter syndrome antenatal type 2
"Bartter syndrome, type 3",bartter syndrome type 3
"Bartter Syndrome, Type 4A",bartter syndrome type 4a
"Bartter Syndrome, Type 4b",bartter syndrome type 4b
"BARTTER SYNDROME, TYPE 5, ANTENATAL, TRANSIENT",bartter syndrome type 5 antenatal transient
Basal Cell Nevus Syndrome,basal cell nevus syndrome
"BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 4",basal ganglia calcification idiopathic 4
"BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 5",basal ganglia calcification idiopathic 5
"BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 6",basal ganglia calcification idiopathic 6
"Basal ganglia disease, biotin-responsive",basal ganglia disease biotin responsive
Basal Ganglia Diseases,basal ganglia diseases
Basal Laminar Drusen,basal laminar drusen
Basan syndrome,basan syndrome
Basaran Yilmaz syndrome,basaran yilmaz syndrome
BASEL-VANAGAITE-SMIRIN-YOSEF SYNDROME,basel vanagaite smirin yosef syndrome
BEAULIEU-BOYCOTT-INNES SYNDROME,beaulieu boycott innes syndrome
Beckwith-Wiedemann Syndrome,beckwith wiedemann syndrome
Behcet Syndrome,behcet syndrome
Behr syndrome,behr syndrome
Benign essential blepharospasm,benign essential blepharospasm
BENT BONE DYSPLASIA SYNDROME 1,bent bone dysplasia syndrome 1
Bernard-Soulier Syndrome,bernard soulier syndrome
"BERNARD-SOULIER SYNDROME, TYPE A2, AUTOSOMAL DOMINANT",bernard soulier syndrome type a2 autosomal dominant
Berylliosis,berylliosis
"BESTROPHINOPATHY, AUTOSOMAL RECESSIVE",bestrophinopathy autosomal recessive
Beta-Hydroxyisobutyryl CoA Deacylase Deficiency,beta hydroxyisobutyryl coa deacylase deficiency
Beta ketothiolase deficiency,beta ketothiolase deficiency
beta-Mannosidosis,beta mannosidosis
beta-Thalassemia,beta thalassemia
"Beta Thalassemia, Dominant Inclusion Body Type",beta thalassemia dominant inclusion body type
Beta-Ureidopropionase Deficiency,beta ureidopropionase deficiency
Bethlem myopathy,bethlem myopathy
Bicuspid Aortic Valve Disease,bicuspid aortic valve disease
Bietti Crystalline Dystrophy,bietti crystalline dystrophy
Bifid nose,bifid nose
Bifid Nose With Or Without Anorectal And Renal Anomalies,bifid nose with or without anorectal and renal anomalies
Bilateral Vestibulopathy,bilateral vestibulopathy
"Bile Acid Malabsorption, Primary",bile acid malabsorption primary
"Bile acid synthesis defect, congenital, 1",bile acid synthesis defect congenital 1
"Bile acid synthesis defect, congenital, 2",bile acid synthesis defect congenital 2
"Bile Acid Synthesis Defect, Congenital, 3",bile acid synthesis defect congenital 3
"Bile acid synthesis defect, congenital, 4",bile acid synthesis defect congenital 4
"BILE ACID SYNTHESIS DEFECT, CONGENITAL, 5",bile acid synthesis defect congenital 5
"BILE ACID SYNTHESIS DEFECT, CONGENITAL, 6",bile acid synthesis defect congenital 6
Bile Duct Diseases,bile duct diseases
Bile Duct Neoplasms,bile duct neoplasms
Biliary Atresia,biliary atresia
Biliary Tract Neoplasms,biliary tract neoplasms
Binge Drinking,binge drinking
Binge-Eating Disorder,binge eating disorder
Biotinidase Deficiency,biotinidase deficiency
Birdshot Chorioretinopathy,birdshot chorioretinopathy
Birk-Barel Mental Retardation Dysmorphism Syndrome,birk barel mental retardation dysmorphism syndrome
Birt-Hogg-Dube Syndrome,birt hogg dube syndrome
Birth Weight,birth weight
Bjornstad syndrome,bjornstad syndrome
Blast Crisis,blast crisis
Blau syndrome,blau syndrome
Bleeding Disorder due to Defective Thromboxane A2 Receptor,bleeding disorder due to defective thromboxane a2 receptor
"BLEEDING DISORDER, PLATELET-TYPE, 11",bleeding disorder platelet type 11
"BLEEDING DISORDER, PLATELET-TYPE, 15",bleeding disorder platelet type 15
"BLEEDING DISORDER, PLATELET-TYPE, 18",bleeding disorder platelet type 18
"BLEEDING DISORDER, PLATELET-TYPE, 19",bleeding disorder platelet type 19
"BLEEDING DISORDER, PLATELET-TYPE, 20",bleeding disorder platelet type 20
"BLEEDING DISORDER, PLATELET-TYPE, 21",bleeding disorder platelet type 21
"BLEEDING DISORDER, PLATELET-TYPE, 8",bleeding disorder platelet type 8
"Blepharophimosis, Ptosis, and Epicanthus Inversus",blepharophimosis ptosis and epicanthus inversus
Blepharophimosis syndrome Ohdo type,blepharophimosis syndrome ohdo type
Blepharophimosis syndrome type 1,blepharophimosis syndrome type 1
Blepharoptosis,blepharoptosis
Blood Coagulation Disorders,blood coagulation disorders
"Blood Coagulation Disorders, Inherited",blood coagulation disorders inherited
"Blood Loss, Surgical",blood loss surgical
Blood Platelet Disorders,blood platelet disorders
Bloom Syndrome,bloom syndrome
Blue cone monochromatism,blue cone monochromatism
BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 10,body mass index quantitative trait locus 10
BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 12,body mass index quantitative trait locus 12
BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 14,body mass index quantitative trait locus 14
BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 18,body mass index quantitative trait locus 18
BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 4,body mass index quantitative trait locus 4
BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 9,body mass index quantitative trait locus 9
Body Weight,body weight
Body-Weight Trajectory,body weight trajectory
Bohring syndrome,bohring syndrome
Bone Diseases,bone diseases
"Bone Diseases, Developmental",bone diseases developmental
"Bone Diseases, Endocrine",bone diseases endocrine
"Bone Diseases, Metabolic",bone diseases metabolic
"Bone Fragility with Contractures, Arterial Rupture, and Deafness",bone fragility with contractures arterial rupture and deafness
Bone Marrow Diseases,bone marrow diseases
Bone Marrow Failure Disorders,bone marrow failure disorders
Bone Marrow Neoplasms,bone marrow neoplasms
BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 12,bone mineral density quantitative trait locus 12
BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 15,bone mineral density quantitative trait locus 15
BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 17,bone mineral density quantitative trait locus 17
BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 18,bone mineral density quantitative trait locus 18
Bone Neoplasms,bone neoplasms
Bone Resorption,bone resorption
Boomerang dysplasia,boomerang dysplasia
Borjeson-Forssman-Lehmann syndrome,borjeson forssman lehmann syndrome
BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME,bosch boonstra schaaf optic atrophy syndrome
Bothnia Retinal Dystrophy,bothnia retinal dystrophy
Bowen-Conradi syndrome,bowen conradi syndrome
Bpes With Duane Retraction Syndrome,bpes with duane retraction syndrome
Brachial Plexus Neuritis,brachial plexus neuritis
"BRACHYCEPHALY, TRICHOMEGALY, AND DEVELOPMENTAL DELAY",brachycephaly trichomegaly and developmental delay
Brachydactyly,brachydactyly
Brachydactyly-Syndactyly Syndrome,brachydactyly syndactyly syndrome
Brachydactyly type A1,brachydactyly type a1
"BRACHYDACTYLY, TYPE A1, C",brachydactyly type a1 c
"BRACHYDACTYLY, TYPE A1, D",brachydactyly type a1 d
Brachydactyly type A2,brachydactyly type a2
"Brachydactyly, Type B1",brachydactyly type b1
"BRACHYDACTYLY, TYPE B2",brachydactyly type b2
Brachydactyly type C,brachydactyly type c
"Brachydactyly, Type D",brachydactyly type d
"Brachydactyly, Type E",brachydactyly type e
"BRACHYDACTYLY, TYPE E1",brachydactyly type e1
"BRACHYDACTYLY, TYPE E2",brachydactyly type e2
Brachydactyly with hypertension,brachydactyly with hypertension
Brachyolmia,brachyolmia
Brachyolmia Type 3,brachyolmia type 3
Brain Diseases,brain diseases
"Brain Diseases, Metabolic",brain diseases metabolic
"Brain Diseases, Metabolic, Inborn",brain diseases metabolic inborn
Brain Edema,brain edema
Brain Infarction,brain infarction
Brain Injuries,brain injuries
"Brain Injuries, Diffuse",brain injuries diffuse
"Brain Injuries, Traumatic",brain injuries traumatic
Brain Ischemia,brain ischemia
BRAIN MALFORMATIONS WITH OR WITHOUT URINARY TRACT DEFECTS,brain malformations with or without urinary tract defects
Brain Neoplasms,brain neoplasms
BRAIN SMALL VESSEL DISEASE 1 WITH OR WITHOUT OCULAR ANOMALIES,brain small vessel disease 1 with or without ocular anomalies
Brain Stem Neoplasms,brain stem neoplasms
BRANCHED-CHAIN KETO ACID DEHYDROGENASE KINASE DEFICIENCY,branched chain keto acid dehydrogenase kinase deficiency
Branchio-Oto-Renal Syndrome,branchio oto renal syndrome
Branchiootic syndrome,branchiootic syndrome
Branchiootic Syndrome 3,branchiootic syndrome 3
Breast Diseases,breast diseases
Breast Neoplasms,breast neoplasms
"Breast Neoplasms, Male",breast neoplasms male
"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 1",breast ovarian cancer familial susceptibility to 1
"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 2",breast ovarian cancer familial susceptibility to 2
"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3",breast ovarian cancer familial susceptibility to 3
"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4",breast ovarian cancer familial susceptibility to 4
"BREASTS AND/OR NIPPLES, APLASIA OR HYPOPLASIA OF, 2",breasts and or nipples aplasia or hypoplasia of 2
Brittle cornea syndrome 1,brittle cornea syndrome 1
BRITTLE CORNEA SYNDROME 2,brittle cornea syndrome 2
Brody myopathy,brody myopathy
Bronchial Diseases,bronchial diseases
Bronchiectasis,bronchiectasis
Bronchiectasis With Or Without Elevated Sweat Chloride 1,bronchiectasis with or without elevated sweat chloride 1
Bronchiectasis With Or Without Elevated Sweat Chloride 2,bronchiectasis with or without elevated sweat chloride 2
Bronchiectasis With Or Without Elevated Sweat Chloride 3,bronchiectasis with or without elevated sweat chloride 3
Bronchiolitis Obliterans,bronchiolitis obliterans
"Bronchitis, Chronic",bronchitis chronic
Bronchopulmonary Dysplasia,bronchopulmonary dysplasia
Brown-Vialetto-Van Laere syndrome,brown vialetto van laere syndrome
Brucellosis,brucellosis
Bruck syndrome 1,bruck syndrome 1
Bruck syndrome 2,bruck syndrome 2
Brugada Syndrome,brugada syndrome
Brugada Syndrome 2,brugada syndrome 2
Brugada Syndrome 3,brugada syndrome 3
Brugada Syndrome 4,brugada syndrome 4
Brugada Syndrome 5,brugada syndrome 5
Brugada Syndrome 6,brugada syndrome 6
Brugada Syndrome 7,brugada syndrome 7
Brugada Syndrome 8,brugada syndrome 8
BRUGADA SYNDROME 9,brugada syndrome 9
Brunner Syndrome,brunner syndrome
Bruton type agammaglobulinemia,bruton type agammaglobulinemia
"Bulbar Palsy, Progressive",bulbar palsy progressive
"Bulbospinal neuronopathy, X-linked recessive",bulbospinal neuronopathy x linked recessive
Burkitt Lymphoma,burkitt lymphoma
Burn-Mckeown syndrome,burn mckeown syndrome
Burns,burns
"Burns, Chemical",burns chemical
Buruli Ulcer,buruli ulcer
Buschke-Ollendorff syndrome,buschke ollendorff syndrome
Butyrylcholinesterase deficiency,butyrylcholinesterase deficiency
C SYNDROME,c syndrome
C1q DEFICIENCY 1,c1q deficiency 1
C3 GLOMERULOPATHY 3,c3 glomerulopathy 3
C9 Deficiency,c9 deficiency
CADASIL,cadasil
Cadmium Poisoning,cadmium poisoning
Cafe-au-Lait Spots,cafe au lait spots
Cakut,cakut
Calcification of Joints and Arteries,calcification of joints and arteries
Caliciviridae Infections,caliciviridae infections
Campomelic Dysplasia,campomelic dysplasia
Camptocormia,camptocormia
"Camptosynpolydactyly, Complex",camptosynpolydactyly complex
Camurati-Engelmann Syndrome,camurati engelmann syndrome
Canavan Disease,canavan disease
Candidiasis,candidiasis
"Candidiasis, Chronic Mucocutaneous",candidiasis chronic mucocutaneous
"CANDIDIASIS, FAMILIAL, 6",candidiasis familial 6
"CANDIDIASIS, FAMILIAL, 8",candidiasis familial 8
"CANDIDIASIS, FAMILIAL, 9",candidiasis familial 9
"Candidiasis familial chronic mucocutaneous, autosomal recessive",candidiasis familial chronic mucocutaneous autosomal recessive
"Candidiasis, Oral",candidiasis oral
"Candidiasis, Vulvovaginal",candidiasis vulvovaginal
Cantu syndrome,cantu syndrome
Capillary Malformation-Arteriovenous Malformation,capillary malformation arteriovenous malformation
