DiseaseName_raw,DiseaseName_norm
Arthrogryposis multiplex congenita neurogenic type,arthrogryposis multiplex congenita neurogenic type
"ARTHROGRYPOSIS, PERTHES DISEASE, AND UPWARD GAZE PALSY",arthrogryposis perthes disease and upward gaze palsy
Arthrogryposis renal dysfunction cholestasis syndrome,arthrogryposis renal dysfunction cholestasis syndrome
"Arthropathy, progressive pseudorheumatoid, of childhood",arthropathy progressive pseudorheumatoid of childhood
Arts syndrome,arts syndrome
Asbestosis,asbestosis
Ascorbic Acid Deficiency,ascorbic acid deficiency
ASPARAGINE SYNTHETASE DEFICIENCY,asparagine synthetase deficiency
Aspartylglucosaminuria,aspartylglucosaminuria
Asperger Syndrome,asperger syndrome
Aspergillosis,aspergillosis
Asphyxia Neonatorum,asphyxia neonatorum
Asphyxiating Thoracic Dystrophy 2,asphyxiating thoracic dystrophy 2
"ASPLENIA, ISOLATED CONGENITAL",asplenia isolated congenital
Asthenozoospermia,asthenozoospermia
"Asthma, Aspirin-Induced",asthma aspirin induced
"Asthma, Nasal Polyps, And Aspirin Intolerance",asthma nasal polyps and aspirin intolerance
"Asthma, Occupational",asthma occupational
"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 1",asthma related traits susceptibility to 1
"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 5",asthma related traits susceptibility to 5
"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 7",asthma related traits susceptibility to 7
"ATAXIA, COMBINED CEREBELLAR AND PERIPHERAL, WITH HEARING LOSS AND DIABETES MELLITUS",ataxia combined cerebellar and peripheral with hearing loss and diabetes mellitus
ATAXIA-OCULOMOTOR APRAXIA 3,ataxia oculomotor apraxia 3
ATAXIA-OCULOMOTOR APRAXIA 4,ataxia oculomotor apraxia 4
"ATAXIA, SENSORY, 1, AUTOSOMAL DOMINANT",ataxia sensory 1 autosomal dominant
"Ataxia, Spastic, 1, Autosomal Dominant",ataxia spastic 1 autosomal dominant
"Ataxia, Spastic, 2, Autosomal Recessive",ataxia spastic 2 autosomal recessive
"Ataxia, Spastic, 3, Autosomal Recessive",ataxia spastic 3 autosomal recessive
Ataxia Telangiectasia,ataxia telangiectasia
Ataxia Telangiectasia Like Disorder,ataxia telangiectasia like disorder
Ataxia with vitamin E deficiency,ataxia with vitamin e deficiency
"Atelosteogenesis, type 1",atelosteogenesis type 1
