DiseaseName_raw,DiseaseName_norm,mapped_adr_id,mapped_adr_name,GeneSymbol,DiseaseID,DirectEvidence,PubMedIDs
Prostatic Neoplasms,prostatic neoplasms,,,ABCC4,MESH:D011471,marker/mechanism,17003774
Substance-Related Disorders,substance related disorders,,,ABCC4,MESH:D019966,marker/mechanism,20098672
"Arthritis, Rheumatoid",arthritis rheumatoid,,,ABCC5,MESH:D001172,marker/mechanism,23897011
Colorectal Neoplasms,colorectal neoplasms,,,ABCC5,MESH:D015179,marker/mechanism,22294766
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,ABCC5,MESH:D008106,marker/mechanism,25380136
Arterial calcification of infancy,arterial calcification of infancy,,,ABCC6,MESH:C537440,marker/mechanism,25758222
Colorectal Neoplasms,colorectal neoplasms,,,ABCC6,MESH:D015179,marker/mechanism,22294766
"Disease Models, Animal",disease models animal,,,ABCC6,MESH:D004195,marker/mechanism,23415960
Disease Progression,disease progression,C0242656,Disease progression,ABCC6,MESH:D018450,marker/mechanism,22294766
Pseudoxanthoma Elasticum,pseudoxanthoma elasticum,,,ABCC6,MESH:D011561,marker/mechanism,11880368|12069597|14667841|16571645|17045963|18049453|23415960|25758222
Retinitis pigmentosa 1,retinitis pigmentosa 1,,,ABCC6,MESH:C538365,marker/mechanism,
Arterial calcification of infancy,arterial calcification of infancy,,,ABCC6A,MESH:C537440,marker/mechanism,25758222
"Disease Models, Animal",disease models animal,,,ABCC6A,MESH:D004195,marker/mechanism,25758222
Pseudoxanthoma Elasticum,pseudoxanthoma elasticum,,,ABCC6A,MESH:D011561,marker/mechanism,25758222
Colorectal Neoplasms,colorectal neoplasms,,,ABCC8,MESH:D015179,marker/mechanism,22294766
Congenital Hyperinsulinism,congenital hyperinsulinism,,,ABCC8,MESH:D044903,marker/mechanism,10334322|15579781
"Diabetes Mellitus, Transient Neonatal, 2",diabetes mellitus transient neonatal 2,,,ABCC8,MESH:C563672,marker/mechanism,
"Diabetes Mellitus, Type 1",diabetes mellitus type 1,,,ABCC8,MESH:D003922,marker/mechanism,18025464
"Diabetes Mellitus, Type 2",diabetes mellitus type 2,,,ABCC8,MESH:D003924,marker/mechanism,22209866|9568693
"Hypoglycemia, leucine-induced",hypoglycemia leucine induced,,,ABCC8,MESH:C537150,marker/mechanism,
"ATRIAL FIBRILLATION, FAMILIAL, 12",atrial fibrillation familial 12,,,ABCC9,OMIM:614050,marker/mechanism,
Cantu syndrome,cantu syndrome,,,ABCC9,MESH:C535572,marker/mechanism,22610116|28842488
"Cardiomyopathy, Dilated, 1o",cardiomyopathy dilated 1o,,,ABCC9,MESH:C563906,marker/mechanism,
Desbuquois syndrome,desbuquois syndrome,,,ABCC9,MESH:C535943,marker/mechanism,
Endometrial Neoplasms,endometrial neoplasms,,,ABCC9,MESH:D016889,marker/mechanism,23104009
Endometriosis,endometriosis,C0014175,Endometriosis,ABCC9,MESH:D004715,marker/mechanism,20864642
Adrenoleukodystrophy,adrenoleukodystrophy,,,ABCD1,MESH:D000326,marker/mechanism,16319717|17602313|22057157
Colorectal Neoplasms,colorectal neoplasms,,,ABCD2,MESH:D015179,marker/mechanism,22294766
"BILE ACID SYNTHESIS DEFECT, CONGENITAL, 5",bile acid synthesis defect congenital 5,,,ABCD3,OMIM:616278,marker/mechanism,
Colorectal Neoplasms,colorectal neoplasms,,,ABCD3,MESH:D015179,marker/mechanism,22294766
Zellweger Syndrome,zellweger syndrome,,,ABCD3,MESH:D015211,marker/mechanism,1301993
Colorectal Neoplasms,colorectal neoplasms,,,ABCD4,MESH:D015179,marker/mechanism,22294766
Disease Progression,disease progression,C0242656,Disease progression,ABCD4,MESH:D018450,marker/mechanism,22294766
"Metabolism, Inborn Errors",metabolism inborn errors,,,ABCD4,MESH:D008661,marker/mechanism,22922874
"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE",methylmalonic aciduria and homocystinuria cblj type,,,ABCD4,OMIM:614857,marker/mechanism,
Vitamin B 12 Deficiency,vitamin b 12 deficiency,,,ABCD4,MESH:D014806,marker/mechanism,22922874
Colorectal Neoplasms,colorectal neoplasms,,,ABCE1,MESH:D015179,marker/mechanism,22294766
Disease Progression,disease progression,C0242656,Disease progression,ABCF1,MESH:D018450,marker/mechanism,22294766
Hypersensitivity,hypersensitivity,C0020517,Hypersensitivity,ABCF1,MESH:D006967,marker/mechanism,21625544
Pneumonia,pneumonia,C0032285,Pneumonia,ABCF1,MESH:D011014,marker/mechanism,21625544
Disease Progression,disease progression,C0242656,Disease progression,ABCF2,MESH:D018450,marker/mechanism,22294766
Colorectal Neoplasms,colorectal neoplasms,,,ABCG1,MESH:D015179,marker/mechanism,22294766
"Kidney Failure, Chronic",kidney failure chronic,,,ABCG1,MESH:D007676,marker/mechanism,19878707
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,ABCG1,MESH:D008106,marker/mechanism,25380136
Weight Gain,weight gain,,,ABCG1,MESH:D015430,marker/mechanism,17194745
Adenoma,adenoma,,,ABCG2,MESH:D000236,marker/mechanism,21544799
"Arthritis, Rheumatoid",arthritis rheumatoid,,,ABCG2,MESH:D001172,marker/mechanism,23897011
Autism Spectrum Disorder,autism spectrum disorder,,,ABCG2,MESH:D000067877,marker/mechanism,35663546
Breast Neoplasms,breast neoplasms,,,ABCG2,MESH:D001943,marker/mechanism,10930538
Cardiomyopathies,cardiomyopathies,,,ABCG2,MESH:D009202,marker/mechanism,33171190
Colorectal Neoplasms,colorectal neoplasms,,,ABCG2,MESH:D015179,marker/mechanism,21544799|22294766
Diarrhea,diarrhea,,,ABCG2,MESH:D003967,marker/mechanism,32387182
Drug-Related Side Effects and Adverse Reactions,drug related side effects and adverse reactions,,,ABCG2,MESH:D064420,marker/mechanism,21064136|32387182
Gout,gout,C0018099,Gout,ABCG2,MESH:D006073,marker/mechanism,21821808|31578528
Heart Failure,heart failure,,,ABCG2,MESH:D006333,marker/mechanism,36071497
Hyperuricemia,hyperuricemia,,,ABCG2,MESH:D033461,marker/mechanism,21821808
"Liver Cirrhosis, Biliary",liver cirrhosis biliary,,,ABCG2,MESH:D008105,marker/mechanism,15542527
"Lymphoma, Large B-Cell, Diffuse",lymphoma large b cell diffuse,,,ABCG2,MESH:D016403,marker/mechanism,21625222
"Mammary Neoplasms, Experimental",mammary neoplasms experimental,,,ABCG2,MESH:D008325,therapeutic,22767648
Nervous System Diseases,nervous system diseases,,,ABCG2,MESH:D009422,marker/mechanism,21064136
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,precursor t cell lymphoblastic leukemia lymphoma,,,ABCG2,MESH:D054218,marker/mechanism,20019844
Squamous Cell Carcinoma of Head and Neck,squamous cell carcinoma of head and neck,,,ABCG2,MESH:D000077195,marker/mechanism,25275603
"URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 1",uric acid concentration serum quantitative trait locus 1,,,ABCG2,OMIM:138900,marker/mechanism,
Atherosclerosis,atherosclerosis,,,ABCG5,MESH:D050197,marker/mechanism,11138003
Coronary Artery Disease,coronary artery disease,C1956346,Coronary artery disease,ABCG5,MESH:D003324,marker/mechanism,11099417|11138003
Coronary Disease,coronary disease,,,ABCG5,MESH:D003327,marker/mechanism,19060911
Dyslipidemias,dyslipidemias,,,ABCG5,MESH:D050171,marker/mechanism,19060911
"Lipid Metabolism, Inborn Errors",lipid metabolism inborn errors,,,ABCG5,MESH:D008052,marker/mechanism,11138003
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,ABCG5,MESH:D008106,marker/mechanism,25380136
Prostatic Neoplasms,prostatic neoplasms,,,ABCG5,MESH:D011471,marker/mechanism,22919386
Sitosterolemia,sitosterolemia,,,ABCG5,MESH:C537345,marker/mechanism,11099417|11138003
Xanthomatosis,xanthomatosis,,,ABCG5,MESH:D014973,marker/mechanism,11138003
Coronary Artery Disease,coronary artery disease,C1956346,Coronary artery disease,ABCG8,MESH:D003324,marker/mechanism,11099417
Gallbladder Disease 4,gallbladder disease 4,,,ABCG8,MESH:C566936,marker/mechanism,
Gallstones,gallstones,,,ABCG8,MESH:D042882,marker/mechanism,17632509
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,ABCG8,MESH:D008106,marker/mechanism,25380136
Sitosterolemia,sitosterolemia,,,ABCG8,MESH:C537345,marker/mechanism,11099417
"Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract",polyneuropathy hearing loss ataxia retinitis pigmentosa and cataract,,,ABHD12,MESH:C567203,marker/mechanism,
Retinitis pigmentosa 1,retinitis pigmentosa 1,,,ABHD12,MESH:C538365,marker/mechanism,
Chanarin-Dorfman Syndrome,chanarin dorfman syndrome,,,ABHD5,MESH:C536560,marker/mechanism,
Chemical and Drug Induced Liver Injury,chemical and drug induced liver injury,,,ABI1,MESH:D056486,marker/mechanism,25231249
Alzheimer Disease,alzheimer disease,,,ABI3,MESH:D000544,marker/mechanism,28714976
"Carcinoma, Basal Cell",carcinoma basal cell,,,ABI3BP,MESH:D002280,marker/mechanism,36428691
Endometriosis,endometriosis,C0014175,Endometriosis,ABI3BP,MESH:D004715,marker/mechanism,20864642
Adenocarcinoma,adenocarcinoma,C0001418,Adenocarcinoma,ABL1,MESH:D000230,marker/mechanism,21472143
"Bone Diseases, Developmental",bone diseases developmental,,,ABL1,MESH:D001848,marker/mechanism,28288113
Breast Neoplasms,breast neoplasms,,,ABL1,MESH:D001943,marker/mechanism,20234815
Carcinogenesis,carcinogenesis,,,ABL1,MESH:D063646,marker/mechanism,23968727
Congenital contractural arachnodactyly,congenital contractural arachnodactyly,,,ABL1,MESH:C536211,marker/mechanism,
Esophageal Neoplasms,esophageal neoplasms,,,ABL1,MESH:D004938,marker/mechanism,21472143
Failure to Thrive,failure to thrive,C0015544,Failure to thrive,ABL1,MESH:D005183,marker/mechanism,28288113
"Heart Defects, Congenital",heart defects congenital,,,ABL1,MESH:D006330,marker/mechanism,28288113
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",leukemia myelogenous chronic bcr abl positive,,,ABL1,MESH:D015464,marker/mechanism,15604220|18673174|21908430|33070465
Liver Neoplasms,liver neoplasms,,,ABL1,MESH:D008113,marker/mechanism,19233941
Musculoskeletal Abnormalities,musculoskeletal abnormalities,,,ABL1,MESH:D009139,marker/mechanism,28288113
"Neoplasms, Experimental",neoplasms experimental,,,ABL1,MESH:D009374,marker/mechanism,19878872
Precancerous Conditions,precancerous conditions,,,ABL1,MESH:D011230,marker/mechanism,19233941
Precursor Cell Lymphoblastic Leukemia-Lymphoma,precursor cell lymphoblastic leukemia lymphoma,,,ABL1,MESH:D054198,marker/mechanism,11984797|21898527
Tetralogy of Fallot,tetralogy of fallot,,,ABL1,MESH:D013771,marker/mechanism,
Substance-Related Disorders,substance related disorders,,,ABLIM1,MESH:D019966,marker/mechanism,20098672
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,ABLIM3,MESH:D008106,marker/mechanism,25380136
"Carcinoma, Ovarian Epithelial",carcinoma ovarian epithelial,,,ABO,MESH:D000077216,marker/mechanism,25581431
Coronary Artery Disease,coronary artery disease,C1956346,Coronary artery disease,ABO,MESH:D003324,marker/mechanism,21378990
COVID-19,covid 19,,,ABO,MESH:D000086382,marker/mechanism,32558485
Critical Illness,critical illness,,,ABO,MESH:D016638,marker/mechanism,32558485
Diverticular Diseases,diverticular diseases,,,ABO,MESH:D000076385,marker/mechanism,30177863
Duodenal Ulcer,duodenal ulcer,C0013295,Duodenal ulcer,ABO,MESH:D004381,marker/mechanism,22387998
Pancreatic Neoplasms,pancreatic neoplasms,,,ABO,MESH:D010190,marker/mechanism,19648918|26098869
Prostatic Neoplasms,prostatic neoplasms,,,ABO,MESH:D011471,marker/mechanism,17013881
Respiratory Insufficiency,respiratory insufficiency,,,ABO,MESH:D012131,marker/mechanism,32558485
Stroke,stroke,,,ABO,MESH:D020521,marker/mechanism,29531354
Prostatic Neoplasms,prostatic neoplasms,,,ABR,MESH:D011471,marker/mechanism,24763052
"Cardiomyopathy, Dilated",cardiomyopathy dilated,,,ABRA,MESH:D002311,marker/mechanism,16243910
Disease Progression,disease progression,C0242656,Disease progression,ABT1,MESH:D018450,marker/mechanism,21364753
Stomach Neoplasms,stomach neoplasms,,,ABT1,MESH:D013274,marker/mechanism,21364753
Liver Neoplasms,liver neoplasms,,,ABTB3,MESH:D008113,marker/mechanism,19233941
Heart Failure,heart failure,,,ACAA1B,MESH:D006333,marker/mechanism,26670611
"Carcinoma, Basal Cell",carcinoma basal cell,,,ACAA2,MESH:D002280,marker/mechanism,36428691
Osteoarthritis,osteoarthritis,C0029408,Osteoarthritis,ACAA2,MESH:D010003,marker/mechanism,18784066
Respiratory Distress Syndrome,respiratory distress syndrome,,,ACAA2,MESH:D012128,marker/mechanism,25070658
Acetyl-Coa Carboxylase Deficiency,acetyl coa carboxylase deficiency,,,ACACA,MESH:C562678,marker/mechanism,
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,ACACA,MESH:D006528,marker/mechanism,21147110
Heart Failure,heart failure,,,ACACA,MESH:D006333,marker/mechanism,26670611
Breast Neoplasms,breast neoplasms,,,ACACB,MESH:D001943,marker/mechanism,35191604
Insulin Resistance,insulin resistance,C0021655,Insulin resistance,ACACB,MESH:D007333,marker/mechanism,22658938
Obesity,obesity,C0028754,Obesity,ACACB,MESH:D009765,marker/mechanism,20882379
Disease Progression,disease progression,C0242656,Disease progression,ACAD8,MESH:D018450,marker/mechanism,21364753
Isobutyryl-CoA dehydrogenase deficiency,isobutyryl coa dehydrogenase deficiency,,,ACAD8,MESH:C535541,marker/mechanism,
Stomach Neoplasms,stomach neoplasms,,,ACAD8,MESH:D013274,marker/mechanism,21364753
"Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of",acyl coa dehydrogenase family member 9 deficiency of,,,ACAD9,MESH:C567006,marker/mechanism,21057504
"Carcinoma, Basal Cell",carcinoma basal cell,,,ACADL,MESH:D002280,marker/mechanism,36428691
"Enterocolitis, Necrotizing",enterocolitis necrotizing,,,ACADM,MESH:D020345,marker/mechanism,18806098
Liver Failure,liver failure,,,ACADM,MESH:D017093,marker/mechanism,9090694
Medium chain acyl CoA dehydrogenase deficiency,medium chain acyl coa dehydrogenase deficiency,,,ACADM,MESH:C536038,marker/mechanism,
Obesity,obesity,C0028754,Obesity,ACADM,MESH:D009765,marker/mechanism,20882379
Weight Gain,weight gain,,,ACADM,MESH:D015430,marker/mechanism,19030233
Heart Failure,heart failure,,,ACADS,MESH:D006333,marker/mechanism,30827304
Short chain Acyl CoA dehydrogenase deficiency,short chain acyl coa dehydrogenase deficiency,,,ACADS,MESH:C537596,marker/mechanism,
2-Methylbutyryl-CoA Dehydrogenase Deficiency,2 methylbutyryl coa dehydrogenase deficiency,,,ACADSB,MESH:C566487,marker/mechanism,
Autistic Disorder,autistic disorder,,,ACADSB,MESH:D001321,marker/mechanism,17883863
Hypoxia,hypoxia,C0242184,Hypoxia,ACADVL,MESH:D000860,marker/mechanism,18258771
VLCAD deficiency,vlcad deficiency,,,ACADVL,MESH:C536353,marker/mechanism,20060901
"Arthritis, Rheumatoid",arthritis rheumatoid,,,ACAN,MESH:D001172,marker/mechanism,15292528
Desbuquois syndrome,desbuquois syndrome,,,ACAN,MESH:C535943,marker/mechanism,
"Muscular Dystrophy, Facioscapulohumeral",muscular dystrophy facioscapulohumeral,,,ACAN,MESH:D020391,marker/mechanism,12868502
Pneumoconiosis,pneumoconiosis,,,ACAN,MESH:D011009,marker/mechanism,25445010
SHORT STATURE AND ADVANCED BONE AGE WITH OR WITHOUT EARLY-ONSET OSTEOARTHRITIS AND/OR OSTEOCHONDRITIS DISSECANS,short stature and advanced bone age with or without early onset osteoarthritis and or osteochondritis dissecans,,,ACAN,OMIM:165800,marker/mechanism,
"Spondyloepimetaphyseal Dysplasia, Aggrecan Type",spondyloepimetaphyseal dysplasia aggrecan type,,,ACAN,MESH:C567558,marker/mechanism,
"Spondyloepiphyseal Dysplasia, Kimberley Type",spondyloepiphyseal dysplasia kimberley type,,,ACAN,MESH:C564252,marker/mechanism,
Beta ketothiolase deficiency,beta ketothiolase deficiency,,,ACAT1,MESH:C535434,marker/mechanism,
"Kidney Failure, Chronic",kidney failure chronic,,,ACAT1,MESH:D007676,marker/mechanism,19878707
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,ACAT1,MESH:D008106,marker/mechanism,25380136
Seizures,seizures,,,ACAT1,MESH:D012640,marker/mechanism,23266720
Cytosolic acetoacetyl-CoA thiolase deficiency,cytosolic acetoacetyl coa thiolase deficiency,,,ACAT2,MESH:C536005,marker/mechanism,
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,ACBD4,MESH:D008106,marker/mechanism,25380136
Retinitis pigmentosa 1,retinitis pigmentosa 1,,,ACBD5,MESH:C538365,marker/mechanism,
Intellectual Disability,intellectual disability,,,ACBD6,MESH:D008607,marker/mechanism,21937992
"DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 6",dyskeratosis congenita autosomal dominant 6,,,ACD,OMIM:616553,marker/mechanism,
Adenocarcinoma,adenocarcinoma,C0001418,Adenocarcinoma,ACE,MESH:D000230,marker/mechanism,21552421
Albuminuria,albuminuria,C0001925,Albuminuria,ACE,MESH:D000419,marker/mechanism,23733546
Allanson Pantzar McLeod syndrome,allanson pantzar mcleod syndrome,,,ACE,MESH:C537048,marker/mechanism,16116425
Alzheimer Disease,alzheimer disease,,,ACE,MESH:D000544,marker/mechanism,10643899|14872014|17192785|30820047|9916793
"Arrhythmias, Cardiac",arrhythmias cardiac,,,ACE,MESH:D001145,marker/mechanism,15331425
Atrial Fibrillation,atrial fibrillation,C0004238,Atrial fibrillation,ACE,MESH:D001281,marker/mechanism,15331425
Autistic Disorder,autistic disorder,,,ACE,MESH:D001321,marker/mechanism,27082637
Berylliosis,berylliosis,,,ACE,MESH:D001607,marker/mechanism,10194187
Brain Ischemia,brain ischemia,,,ACE,MESH:D002545,marker/mechanism,15534175
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,ACE,MESH:D006528,therapeutic,16328049
Cardiovascular Diseases,cardiovascular diseases,,,ACE,MESH:D002318,marker/mechanism,11498459|14657821|16544732
Celiac Disease,celiac disease,,,ACE,MESH:D002446,marker/mechanism,30097691
Cerebral Hemorrhage,cerebral hemorrhage,,,ACE,MESH:D002543,marker/mechanism,15277638
Coronary Artery Disease,coronary artery disease,C1956346,Coronary artery disease,ACE,MESH:D003324,marker/mechanism,14989558
Coronary Disease,coronary disease,,,ACE,MESH:D003327,marker/mechanism,8170965
Coronary Restenosis,coronary restenosis,,,ACE,MESH:D023903,marker/mechanism,9236417
Cough,cough,C0010200,Cough,ACE,MESH:D003371,marker/mechanism,12848919|15498266
"Death, Sudden",death sudden,,,ACE,MESH:D003645,marker/mechanism,15331425
"Diabetes Mellitus, Experimental",diabetes mellitus experimental,,,ACE,MESH:D003921,marker/mechanism,22191573
Diabetic Nephropathies,diabetic nephropathies,,,ACE,MESH:D003928,marker/mechanism,10099885|10857950|23733546|28468961|7909524
Drug Hypersensitivity,drug hypersensitivity,C0013182,Drug hypersensitivity,ACE,MESH:D004342,marker/mechanism,18727619
Gaucher Disease,gaucher disease,,,ACE,MESH:D005776,marker/mechanism,12359135
Genetic Predisposition to Disease,genetic predisposition to disease,,,ACE,MESH:D020022,marker/mechanism,18727619
"Glomerulonephritis, IGA",glomerulonephritis iga,,,ACE,MESH:D005922,marker/mechanism,7593601|9259580
Glycogen Storage Disease Type V,glycogen storage disease type v,,,ACE,MESH:D006012,marker/mechanism,12666117
Heart Failure,heart failure,,,ACE,MESH:D006333,marker/mechanism,18586661
Hypertension,hypertension,C0020538,Hypertension,ACE,MESH:D006973,marker/mechanism,15773232|17473847|20237592|27847271
"Hypertension, Pulmonary",hypertension pulmonary,,,ACE,MESH:D006976,marker/mechanism,12359135
"Hypertrophy, Left Ventricular",hypertrophy left ventricular,,,ACE,MESH:D017379,marker/mechanism,8349331
Hypotension,hypotension,C0020649,Hypotension,ACE,MESH:D007022,therapeutic,3544871
"Infant, Premature, Diseases",infant premature diseases,,,ACE,MESH:D007235,marker/mechanism,14657821
"Infertility, Male",infertility male,C0021364,Infertility male,ACE,MESH:D007248,marker/mechanism,12075344|8642790
Kidney Diseases,kidney diseases,,,ACE,MESH:D007674,marker/mechanism,8642790
"Kidney Failure, Chronic",kidney failure chronic,,,ACE,MESH:D007676,marker/mechanism,10099885|7593601
Lung Diseases,lung diseases,,,ACE,MESH:D008171,marker/mechanism,18702808
Lung Injury,lung injury,,,ACE,MESH:D055370,marker/mechanism|therapeutic,16001071|33007385
Lung Neoplasms,lung neoplasms,,,ACE,MESH:D008175,marker/mechanism,21552421
Meningococcal Infections,meningococcal infections,,,ACE,MESH:D008589,marker/mechanism,11956052
